customer_id,merchant_id,loan_id,application_date,currency,transaction_fee,merchant_status,store_id,term,risk_score,disbursed_date,loanamount,paid_date,city,state,channel,is_disbursed,first_vintage_pay,full_name,age,gender,tel_number,email,merchant_name,merchant_size,store_name,fraud_score
6155x1412z1x1g082834ghz9,716945251115144,loan_2659642,20/01/2022 10:53,MXN,0.04,7 Live,NA,8,0.9,20/01/2022,1459.27,02/08/2022,Acapulco de Juárez,Guerrero,Social Media,TRUE,01/10/2021,Xochitlmaria Solorzano,31,M,3333753900,email_821@gmail.com,merchant_name_10,small,NA,0.6
61i2gh3zg3195649zz07y7x8,738609686913416,loan_8371676,27/01/2022 09:46,MXN,0.049,7 Live,NA,6,0.6,27/01/2022,1350.50,02/05/2022,Toluca,Estado de México,Social Media,TRUE,27/01/2022,Jordan Payan,33,H,3308112023,email_2827@gmail.com,merchant_name_11,medium,NA,0.2
6192xh865y61g7h7059111x0,522186628800710,loan_1545310,11/02/2022 18:55,MXN,0.04,7 Live,NA,4,0.6,11/02/2022,4189.03,12/02/2022,Apodaca,Nuevo León,Social Media,TRUE,17/11/2021,Christopher Cisneros,24,H,3340322971,email_1881@gmail.com,merchant_name_2,medium,NA,0.4
61z2gx0927412z936064x512,747940595639246,loan_6122648,14/02/2022 21:10,MXN,0.055,7 Live,NA,6,0.3,14/02/2022,2920.00,26/02/2022,Mérida,Yucatán,Social Media,TRUE,27/11/2021,Monique Abrego Pineda,44,M,3354720178,email_2806@gmail.com,merchant_name_12,medium,NA,0.6
61608i373189x2h48ighh655,703110028993240,loan_4592448,15/02/2022 16:54,MXN,0.055,7 Live,NA,6,0.9,15/02/2022,833.08,25/05/2022,Reynosa,Tamaulipas,Social Media,TRUE,03/02/2022,Edwin Lazzu,28,H,3331155857,email_2303@gmail.com,merchant_name_13,medium,NA,0.4
621146493ig81h06762hzx8y,522186628800710,loan_2718352,19/02/2022 14:06,MXN,0.04,7 Live,NA,4,0.4,19/02/2022,440.92,14/04/2022,Cozumel,Quintana Roo,Social Media,TRUE,19/02/2022,Brianna Vigil,48,M,3396526610,email_2163@gmail.com,merchant_name_2,medium,NA,0.3
61707i735g8iyi50y131i697,701630404370550,loan_4369956,06/03/2022 18:03,MXN,0.035,7 Live,NA,2,0.9,06/03/2022,327.04,31/03/2022,Benito Juárez,Quintana Roo,Social Media,TRUE,20/10/2021,Ivan Ortiz,25,H,3301016572,email_1229@gmail.com,merchant_name_14,medium,NA,0.3
622x8ghhgz5ihy09h9y00z38,522186628800710,loan_4579362,14/03/2022 01:13,MXN,0.04,7 Live,NA,6,0.3,14/03/2022,5838.54,NA,Mérida,Yucatán,Social Media,TRUE,13/03/2022,David Lucero,30,H,3391956178,email_2881@gmail.com,merchant_name_2,medium,NA,0.8
5yzi888z2352g85972y589gg,748011781366890,loan_0818192,20/03/2022 18:14,MXN,0.03,7 Live,2334554624654246292,8,0.2,20/03/2022,3868.27,NA,Ecatepec de Morelos,Estado de México,Organic,TRUE,20/03/2022,Billy Fuentes,45,H,3306589370,email_1484@gmail.com,merchant_name_15,medium,store_name_1,0.3
623z4gxi7hg9xgz93hz14350,705065522569400,loan_9134274,22/03/2022 16:35,MXN,0.03,7 Live,2350251431347110058,6,0.1,22/03/2022,5839.27,NA,Iztapalapa,Ciudad de México,Organic,TRUE,22/03/2022,Alexus Olaiz,49,M,3360712512,email_1831@gmail.com,merchant_name_16,large,store_name_2,0.3
618zg3y574g9ihx8183xy074,675432932581792,loan_9266800,22/03/2022 18:57,MXN,0.055,7 Live,NA,4,0.8,22/03/2022,726.35,03/05/2022,Los Reyes,Michoacán de Ocampo,Social Media,TRUE,09/11/2021,Mario Chaparro,29,H,3300651066,email_1930@gmail.com,merchant_name_17,medium,NA,0.3
5gyyiz2x5605z17808x6741x,763169811475744,loan_0547218,24/03/2022 17:31,MXN,0.05,7 Live,NA,8,0.4,24/03/2022,5758.24,28/07/2022,Cuauhtémoc,Ciudad de México,Social Media,TRUE,24/03/2022,Genevieve Aparicio,25,M,3361453340,email_2391@gmail.com,merchant_name_4,small,NA,0.9
620h2z132h1ih5i3x4ig5925,158823646240768,loan_9931480,25/03/2022 18:46,MXN,0.025,7 Live,NA,12,0.3,25/03/2022,8575.86,NA,Gustavo A. Madero,Ciudad de México,Social Media,TRUE,25/03/2022,Jacob Sanchez,35,H,3321618826,email_2987@gmail.com,merchant_name_18,medium,NA,0.6
5y7i42651hx6h4ih3z722yy5,522186628800710,loan_4592844,26/03/2022 13:13,MXN,0.04,7 Live,NA,6,0.4,26/03/2022,3795.27,23/06/2022,Altamira,Tamaulipas,Social Media,TRUE,26/03/2022,Jennifer Espino,22,M,3341838661,email_1834@gmail.com,merchant_name_2,medium,NA,0.2
61i85x65hz0hh939h915hyig,833641945250182,loan_8194422,27/03/2022 15:00,MXN,0.055,7 Live,NA,6,0.9,27/03/2022,824.90,29/06/2022,Tijuana,Baja California,Social Media,TRUE,31/01/2022,Ana Bustillos,27,M,3328720412,email_1576@gmail.com,merchant_name_19,small,NA,0.9
618885y6g192y6818gzygh63,839197049234386,loan_0662514,30/03/2022 17:48,MXN,0.055,8.1 Cancelled by Kueski,NA,6,0.6,30/03/2022,1773.90,30/06/2022,Iztapalapa,Ciudad de México,Social Media,TRUE,03/01/2022,Angel Hernandez,47,H,3381896163,email_278@gmail.com,merchant_name_20,large,NA,0.5
62462x70927i32i8346287hh,705065522569400,loan_5862404,31/03/2022 16:57,MXN,0.03,7 Live,2350251458207432940,8,0.1,31/03/2022,4160.27,NA,La Magdalena Contreras,Ciudad de México,Organic,TRUE,31/03/2022,Selene Santacruz,54,M,3308767565,email_2955@gmail.com,merchant_name_16,large,store_name_3,0.7
61y09g496z080i5h2142g957,732810617039302,loan_7047628,03/04/2022 08:07,MXN,0.055,7 Live,NA,8,0.9,03/04/2022,916.88,16/07/2022,Toluca,Estado de México,Social Media,TRUE,20/12/2021,Alexis Gonzalez,50,M,3322520627,email_945@gmail.com,merchant_name_21,extra-large,NA,1
5iy58i954ihh1y9z8xhh6x5i,705065522569400,loan_1444342,07/04/2022 15:52,MXN,0.03,7 Live,2321507877173395558,6,0.8,07/04/2022,2772.54,01/07/2022,Yecapixtla,Morelos,Organic,TRUE,30/11/2021,Amanda Leon-Bojorquez,34,M,3350406815,email_1208@gmail.com,merchant_name_16,large,store_name_4,0.7
6196gg9iz362621i325808zi,647141722957986,loan_2243498,12/04/2022 15:05,MXN,0.055,7 Live,NA,6,0.9,12/04/2022,1569.50,11/07/2022,Miguel Hidalgo,Ciudad de México,Social Media,TRUE,16/02/2022,Adonys Vega,36,H,3376051116,email_1676@gmail.com,merchant_name_22,large,NA,0.3
625872z874703yx2ihzhix45,705065522569400,loan_5478188,14/04/2022 14:41,MXN,0.03,7 Live,2321507877064343650,6,0.1,14/04/2022,6204.28,NA,Iztapalapa,Ciudad de México,Organic,TRUE,14/04/2022,Amber Chavez,52,M,3334164365,email_2794@gmail.com,merchant_name_16,large,store_name_5,0.6
622y0zy26z13072i17z5h8x6,789260705999920,loan_4658660,19/04/2022 12:16,MXN,0.04,7 Live,NA,6,0.4,19/04/2022,3059.40,NA,Culiacán,Sinaloa,Social Media,TRUE,24/03/2022,Samuel Sanchez,44,H,3392533049,email_627@gmail.com,merchant_name_23,medium,NA,0.9
618y0i6x54y0xyh1x78z05hz,746361138195216,loan_2023466,21/04/2022 17:17,MXN,0.055,7 Live,NA,6,0.9,21/04/2022,1128.44,14/07/2022,Chihuahua,Chihuahua,Social Media,TRUE,10/11/2021,Rachael Marquez,20,M,3367722102,email_2143@gmail.com,merchant_name_24,medium,NA,0.7
62633y3hy6990i2hz8763zzg,868189672317082,loan_5435758,22/04/2022 18:58,MXN,0.055,7 Live,NA,4,0.7,22/04/2022,846.77,06/06/2022,Querétaro,Queretaro de Arteaga,Social Media,TRUE,22/04/2022,Itzel Trejo-Olmeda,50,M,3352986944,email_864@gmail.com,merchant_name_25,extra-large,NA,0.7
626455x1809733y2x7y71982,705065522569400,loan_2317468,23/04/2022 15:19,MXN,0.03,7 Live,2321507877500551282,8,0.1,23/04/2022,6934.27,NA,Tlalpan,Ciudad de México,Organic,TRUE,23/04/2022,Jerick Cruz,32,H,3344240662,email_1657@gmail.com,merchant_name_16,large,store_name_6,0.7
6175x6x2z24z385y79xx63hy,615680819077994,loan_3018064,24/10/2021 18:06,MXN,0,7 Live,2301804774635651216,12,0.7,24/10/2021,5540.69,03/05/2022,Tultepec,Estado de México,Organic,TRUE,24/10/2021,Victoria Martinez,59,M,3319677675,email_178@gmail.com,merchant_name_26,small,store_name_7,0.7
619986i95i954zx0gh357zh6,615680819077994,loan_7677964,20/11/2021 17:38,MXN,0,7 Live,2314762382867710162,4,0.1,20/11/2021,3348.5391999999997,23/12/2021,Tultitlán,Estado de México,Organic,TRUE,20/11/2021,Josafat Reyes,65,H,3326655410,email_937@gmail.com,merchant_name_26,small,store_name_8,0.9
61h7671987yg1y4691x66657,615680819077994,loan_4688564,06/01/2022 16:03,MXN,0,7 Live,2314762379772313730,12,0.1,06/01/2022,3353.62,NA,Tlalnepantla de Baz,Estado de México,Organic,TRUE,06/01/2022,Ariana Lopez,55,M,3367579231,email_2564@gmail.com,merchant_name_26,small,store_name_9,0.6
615z62z65x17784i0i6hz6hy,522186628800710,loan_8560908,11/10/2021 22:34,MXN,0.04,7 Live,NA,8,0.8,11/10/2021,7299.2699999999995,15/02/2022,Zihuatanejo de Azueta,Guerrero,Social Media,TRUE,11/10/2021,Abigail Pineda-Lagunas,31,M,3308124310,email_1527@gmail.com,merchant_name_2,medium,NA,0.1
6168i642250648ig1433h3xx,646419203762018,loan_4583870,14/10/2021 22:43,MXN,0.04,7 Live,NA,8,0.9,14/10/2021,1312.54,16/02/2022,San Nicolás de los Garza,Nuevo León,Social Media,TRUE,14/10/2021,Matthew Hernandez,48,H,3329458301,email_1631@gmail.com,merchant_name_27,extra-large,NA,1
61520i5055595xhyz247i70i,620222386283932,loan_7861682,19/10/2021 18:59,MXN,0.04,7 Live,NA,2,0.8,19/10/2021,802.27,17/11/2021,Veracruz,Veracruz,Social Media,TRUE,19/10/2021,Passion Thorne,29,M,3333086170,email_431@gmail.com,merchant_name_28,large,NA,0.4
6171gg4zg1i5zz4yg1x6840i,717496734982638,loan_1876346,21/10/2021 15:07,MXN,0,7 Live,NA,8,0.9,21/10/2021,1167.42,14/02/2022,Monterrey,Nuevo León,Social Media,TRUE,21/10/2021,Connor Chan,28,H,3399694713,email_428@gmail.com,merchant_name_29,extra-large,NA,0.1
6173059y3zi5920201g8i5xx,748011781366890,loan_6771454,22/10/2021 13:40,MXN,0,7 Live,NA,6,0.5,22/10/2021,3284.3430000000003,17/01/2022,Nicolás Romero,Estado de México,Social Media,TRUE,22/10/2021,Kayla Coberly,40,M,3380250108,email_382@gmail.com,merchant_name_15,medium,NA,0.3
61736z708488zx369911763z,656026240300106,loan_7985400,22/10/2021 20:50,MXN,0.048,8.1 Cancelled by Kueski,NA,8,0.6,22/10/2021,3735.85,NA,Álvaro Obregón,Ciudad de México,Social Media,TRUE,22/10/2021,Leann Carrillo,28,M,3375992304,email_1722@gmail.com,merchant_name_30,extra-large,NA,0.7
61884556iz73x86h69xii95g,757411946443882,loan_6360828,07/11/2021 15:29,MXN,0.055,7 Live,NA,4,0.8,07/11/2021,624.15,04/01/2022,Apodaca,Nuevo León,Social Media,TRUE,07/11/2021,Tatum Martinez,47,M,3384123062,email_1823@gmail.com,merchant_name_31,large,NA,0.3
6188gi6x3g3738yi6gzy92h0,726338998904154,loan_5156748,10/11/2021 12:38,MXN,0.055,8.1 Cancelled by Kueski,NA,8,0.7,NA,2047.94,NA,Iztapalapa,Ciudad de México,Social Media,FALSE,11/11/2021,Isabel Clarke,50,M,3367118851,email_12@gmail.com,merchant_name_32,medium,NA,0.7
618y0i6x54y0xyh1x78z05hz,746361138195216,loan_6726716,10/11/2021 15:15,MXN,0.055,7 Live,NA,4,0.9,10/11/2021,1458.54,14/01/2022,Chihuahua,Chihuahua,Social Media,TRUE,10/11/2021,Rachael Marquez,20,M,3367722102,email_2143@gmail.com,merchant_name_24,medium,NA,0.1
618y6ih874gzixiih13hy024,392821433704508,loan_3988716,10/11/2021 19:33,MXN,0.05,7 Live,NA,1,0.7,10/11/2021,1105.11,12/11/2021,Coyoacán,Ciudad de México,Social Media,TRUE,10/11/2021,Lindsey Martinez,61,M,3320049679,email_1615@gmail.com,merchant_name_33,extra-large,NA,0.4
617y2gy3ih2hg2g5g1h1486h,692201583813350,loan_3770112,11/11/2021 08:44,MXN,0.055,7 Live,NA,4,0.8,11/11/2021,649.12,17/01/2022,Guadalajara,Jalisco,Social Media,TRUE,29/10/2021,Jorge Martinez,40,H,3349102712,email_11@gmail.com,merchant_name_34,small,NA,0.3
60x4y18h8773g34x59h4x1xz,716325710471686,loan_3495726,12/11/2021 14:06,MXN,0.035,7 Live,NA,8,0.7,12/11/2021,5123.65,23/11/2021,Saucillo,Chihuahua,Social Media,TRUE,12/11/2021,Abril Peoples,45,M,3315251198,email_557@gmail.com,merchant_name_35,extra-large,NA,0.7
5iz74830z5gzyx2yy3g0527y,672687626399716,loan_2213408,14/11/2021 23:45,MXN,0.045,7 Live,NA,4,0.8,14/11/2021,565.75,16/01/2022,Guadalajara,Jalisco,Social Media,TRUE,14/11/2021,Dustin Galvan,32,H,3398995459,email_1029@gmail.com,merchant_name_36,extra-large,NA,0.4
6193215iz61i9589x5179yhi,522186628800710,loan_4631170,15/11/2021 21:44,MXN,0.04,7 Live,NA,12,0.2,15/11/2021,4222.58,NA,Iztapalapa,Ciudad de México,Social Media,TRUE,15/11/2021,Humberto Salgado,32,H,3323363057,email_2707@gmail.com,merchant_name_2,medium,NA,0.3
613i931y3y3z430hg6z55h02,610308226031882,loan_4678182,16/11/2021 14:10,MXN,0.055,7 Live,NA,4,0.4,16/11/2021,583.27,19/01/2022,Xalapa,Veracruz,Social Media,TRUE,16/11/2021,Max Aguilar,62,H,3323993517,email_2349@gmail.com,merchant_name_37,medium,NA,0.9
6191893z5yy0z9i274ggg2g4,763169811475744,loan_4376800,16/11/2021 17:39,MXN,0,7 Live,NA,8,0.9,16/11/2021,4222.58,20/11/2021,Venustiano Carranza,Ciudad de México,Social Media,TRUE,14/11/2021,Marcos Rivas,33,H,3348935783,email_1506@gmail.com,merchant_name_4,small,NA,0.7
61943hyxi6z2yhy1hz0099x7,594329253193244,loan_8873322,16/11/2021 20:15,MXN,0.05,7 Live,NA,6,0.6,16/11/2021,1092.518,04/01/2022,Chiautempan,Tlaxcala,Social Media,TRUE,16/11/2021,Marly Lucero,25,M,3383127058,email_2498@gmail.com,merchant_name_3,medium,NA,0.6
6192xh865y61g7h7059111x0,522186628800710,loan_1077154,18/11/2021 11:03,MXN,0.04,7 Live,NA,4,0.4,18/11/2021,5466.97,22/11/2021,Apodaca,Nuevo León,Social Media,TRUE,17/11/2021,Christopher Cisneros,24,H,3340322971,email_1881@gmail.com,merchant_name_2,medium,NA,0.7
6191893z5yy0z9i274ggg2g4,763169811475744,loan_0342490,20/11/2021 09:24,MXN,0,7 Live,NA,8,0.9,20/11/2021,2841.78,21/11/2021,Venustiano Carranza,Ciudad de México,Social Media,TRUE,14/11/2021,Marcos Rivas,33,H,3348935783,email_1506@gmail.com,merchant_name_4,small,NA,0.5
6193h54ix4708990i5949930,763169811475744,loan_9713012,23/11/2021 15:58,MXN,0,7 Live,NA,8,0.4,23/11/2021,3386.981,NA,Juárez,Chihuahua,Social Media,TRUE,23/11/2021,Alexander Romero,40,H,3376608663,email_2360@gmail.com,merchant_name_4,small,NA,0.3
61908h6yh38x0yx6xix45479,763169811475744,loan_2944584,24/11/2021 12:32,MXN,0,7 Live,NA,8,0.8,24/11/2021,3510.8255000000004,14/02/2022,Toluca,Estado de México,Social Media,TRUE,24/11/2021,Janet Molina,28,M,3392213350,email_1310@gmail.com,merchant_name_4,small,NA,1
619xx8gx53ih07z89zg34xy6,522186628800710,loan_5487586,24/11/2021 19:49,MXN,0.04,7 Live,NA,8,0.9,24/11/2021,4175.13,31/03/2022,Tlajomulco de Zúñiga,Jalisco,Social Media,TRUE,24/11/2021,Luis Radilla Galicia,52,H,3308519005,email_948@gmail.com,merchant_name_2,medium,NA,1
61z01x991gzx9xhz356h2x3y,522186628800710,loan_9830884,25/11/2021 17:39,MXN,0.04,7 Live,NA,12,0.3,25/11/2021,5408.83,NA,Texcoco,Estado de México,Social Media,TRUE,25/11/2021,Nina Caldera,48,M,3343802666,email_2155@gmail.com,merchant_name_2,medium,NA,0.5
618g786059zi4i76x62ig378,522186628800710,loan_6066088,25/11/2021 19:06,MXN,0.04,7 Live,NA,4,0.5,25/11/2021,4032.78,27/01/2022,Pabellón de Arteaga,Aguascalientes,Social Media,TRUE,24/11/2021,Roberto Zamora,53,H,3305926180,email_685@gmail.com,merchant_name_2,medium,NA,0.4
61z081z7xh9706gzi43hy22y,522186628800710,loan_1668074,26/11/2021 03:59,MXN,0.04,7 Live,NA,8,0.8,26/11/2021,4032.78,29/03/2022,Toluca,Estado de México,Social Media,TRUE,26/11/2021,Jazmin Hernandez,43,M,3331108730,email_2179@gmail.com,merchant_name_2,medium,NA,0.8
61z0i3x5600zx00zixix5z62,702326222626882,loan_2722310,26/11/2021 08:49,MXN,0.055,8.1 Cancelled by Kueski,NA,4,0.7,26/11/2021,489.09999999999997,04/02/2022,Querétaro,Queretaro de Arteaga,Social Media,TRUE,26/11/2021,Tiarra Arredondo,48,M,3374100783,email_1957@gmail.com,merchant_name_38,medium,NA,0.9
61z114z4g6799yg60y4y3927,716969385140422,loan_6244240,26/11/2021 11:37,MXN,0.044,7 Live,NA,8,0.7,26/11/2021,3131.23,16/02/2022,Othón P. Blanco,Quintana Roo,Social Media,TRUE,26/11/2021,Valerie Orozco,60,M,3396069163,email_531@gmail.com,merchant_name_39,medium,NA,0.6
619y128x6x7i8z3gxy633067,763169811475744,loan_7239780,26/11/2021 18:49,MXN,0,7 Live,NA,6,0.8,26/11/2021,2381.52,18/02/2022,Soledad de Graciano Sánchez,San Luis Potosi,Social Media,TRUE,22/11/2021,Ana Trevizo-Granillo,26,M,3381260198,email_1571@gmail.com,merchant_name_4,small,NA,1
618zh7h5gh592555x7x64952,522186628800710,loan_3270356,26/11/2021 18:52,MXN,0.04,7 Live,NA,8,0.8,26/11/2021,3675.48,25/03/2022,Tuxtla Gutiérrez,Chiapas,Social Media,TRUE,09/11/2021,Cesar Molina,26,H,3362993308,email_1832@gmail.com,merchant_name_2,medium,NA,0.1
619i10i60i1228g6061903hi,763169811475744,loan_9758974,26/11/2021 22:06,MXN,0,7 Live,NA,4,0.6,26/11/2021,2400.0209999999997,14/01/2022,Veracruz,Veracruz,Social Media,TRUE,26/11/2021,Daniel Magallanes,41,H,3389549848,email_2300@gmail.com,merchant_name_4,small,NA,0.4
618x76i2i85y5g9y85z83800,469183175598082,loan_0536806,27/11/2021 08:02,MXN,0.05,7 Live,NA,4,0.8,27/11/2021,717.44,17/01/2022,Huixquilucan,Estado de México,Social Media,TRUE,12/11/2021,Fransisco Mills,34,H,3329908362,email_1857@gmail.com,merchant_name_40,extra-large,NA,0.5
61z2x64g9zh5i8yz5185zh7h,646419203762018,loan_2039694,27/11/2021 20:15,MXN,0.04,7 Live,NA,6,0.9,27/11/2021,1099.99,02/03/2022,Cajeme,Sonora,Social Media,TRUE,27/11/2021,Lucero Gonzalez,25,M,3348982509,email_253@gmail.com,merchant_name_27,extra-large,NA,0.3
61z3ig821i823157h632794g,773930457768280,loan_5234672,28/11/2021 15:58,MXN,0.055,8.1 Cancelled by Kueski,NA,6,0.5,28/11/2021,1203.77,28/02/2022,Miacatlán,Morelos,Social Media,TRUE,28/11/2021,Eilex Villegas,47,M,3386644291,email_256@gmail.com,merchant_name_41,small,NA,0.1
619028hg99xzgih1071760gz,522186628800710,loan_0689172,29/11/2021 11:41,MXN,0.04,7 Live,NA,8,0.8,29/11/2021,4402.89,18/01/2022,Monterrey,Nuevo León,Social Media,TRUE,17/11/2021,Carmen Dominguez Alcala,48,M,3398714441,email_315@gmail.com,merchant_name_2,medium,NA,0.6
613920h853991z05586y7xi8,522186628800710,loan_4483320,29/11/2021 12:45,MXN,0.04,7 Live,NA,12,0.5,29/11/2021,3616.64,NA,San Nicolás de los Garza,Nuevo León,Social Media,TRUE,14/11/2021,Arlene Santacruz,56,M,3361657623,email_784@gmail.com,merchant_name_2,medium,NA,0.2
6191xyh5g86x7i9y7x10562y,397210688954500,loan_3110308,29/11/2021 18:28,MXN,0.04,7 Live,NA,8,0.8,29/11/2021,995.50,31/03/2022,Zapopan,Jalisco,Social Media,TRUE,14/11/2021,Desiree Bernal Gonzalez,52,M,3327803488,email_2841@gmail.com,merchant_name_42,large,NA,0.4
61z6gigy952h3y3yih4x93y6,522186628800710,loan_5280186,30/11/2021 18:36,MXN,0.04,7 Live,NA,8,0.2,30/11/2021,3335.74,15/04/2022,Iguala de la Independencia,Guerrero,Social Media,TRUE,30/11/2021,Salvador Espinoza-Ochoa,43,H,3319560787,email_1372@gmail.com,merchant_name_2,medium,NA,0.3
616yy77i017g0gy8gxx0x231,691331450284080,loan_7922338,09/12/2021 16:44,MXN,0.055,7 Live,NA,2,0.9,09/12/2021,1005.9399999999999,14/01/2022,Guadalajara,Jalisco,Social Media,TRUE,17/10/2021,Gabriela Hernandez Del Hoyo,64,M,3350409098,email_2606@gmail.com,merchant_name_43,extra-large,NA,0.2
61zggzgz6920x9x6xxy513i1,522186628800710,loan_6951116,09/12/2021 21:29,MXN,0.04,7 Live,NA,6,0.5,09/12/2021,2184.16,14/03/2022,Nezahualcóyotl,Estado de México,Social Media,TRUE,09/12/2021,Claudia Vigil,33,M,3327679288,email_2450@gmail.com,merchant_name_2,medium,NA,0.9
618x332y122yzg0566h48z11,522186628800710,loan_6941914,10/12/2021 18:50,MXN,0.04,7 Live,NA,4,0.7,10/12/2021,3904.6240000000003,10/12/2021,Ensenada,Baja California,Social Media,TRUE,12/11/2021,Erika Robinson,54,M,3344264782,email_1717@gmail.com,merchant_name_2,medium,NA,0.5
619g4598gyhhi3h6i8685105,522186628800710,loan_2020224,12/12/2021 20:00,MXN,0.04,7 Live,NA,8,0.2,12/12/2021,4745.58,16/04/2022,Monterrey,Nuevo León,Social Media,TRUE,22/11/2021,Jorge Ceniceros,54,H,3380038383,email_871@gmail.com,merchant_name_2,medium,NA,0.6
61666z822x2izg92408x3zx3,645792021096042,loan_3442798,16/12/2021 01:46,MXN,0.04,7 Live,NA,4,0.7,16/12/2021,495.96,30/03/2022,Cuauhtémoc,Ciudad de México,Social Media,TRUE,16/12/2021,Uriel Perez,58,H,3312785814,email_777@gmail.com,merchant_name_44,extra-large,NA,0.2
61z455hx73hi037g7zh25599,620222386283932,loan_0961650,17/12/2021 23:04,MXN,0.04,7 Live,NA,2,0.7,17/12/2021,393.18,19/01/2022,San Miguel de Allende,Guanajuato,Social Media,TRUE,28/11/2021,Angel Perkins,33,H,3302059899,email_860@gmail.com,merchant_name_28,large,NA,0.7
57716216976g4371ih51z4y5,766895628493072,loan_6774004,18/12/2021 12:48,MXN,0.055,8.1 Cancelled by Kueski,NA,8,0.5,18/12/2021,3650.00,NA,Jaltenco,Estado de México,Social Media,TRUE,18/12/2021,Catrina Carrasco-Lechuga,63,M,3316206724,email_1946@gmail.com,merchant_name_45,large,NA,0.4
61z02h1xi819x93897hg5hy9,522186628800710,loan_0938066,18/12/2021 18:13,MXN,0.04,7 Live,NA,6,0.3,18/12/2021,5518.73,NA,San Luis Potosí,San Luis Potosi,Social Media,TRUE,25/11/2021,Robert Rodriguez,57,H,3308429663,email_2031@gmail.com,merchant_name_2,medium,NA,0.5
